value,ticker,metric,date
,Unnamed: 0,price,1970-01-01
timestamp,Unnamed: 0,price,1970-01-02
2024-05-03 04:00:00+00:00,Unnamed: 0,price,1970-01-03
close,AGG,price,1970-01-01
,AGG,price,1970-01-02
96.19,AGG,price,1970-01-03
high,AGG,1,1970-01-01
,AGG,1,1970-01-02
96.455,AGG,1,1970-01-03
low,AGG,2,1970-01-01
,AGG,2,1970-01-02
95.93,AGG,2,1970-01-03
trade_count,AGG,3,1970-01-01
,AGG,3,1970-01-02
25826,AGG,3,1970-01-03
open,AGG,4,1970-01-01
,AGG,4,1970-01-02
96.32,AGG,4,1970-01-03
volume,AGG,5,1970-01-01
,AGG,5,1970-01-02
9146714,AGG,5,1970-01-03
vwap,AGG,6,1970-01-01
,AGG,6,1970-01-02
96.14809,AGG,6,1970-01-03
close,SPY,price,1970-01-01
,SPY,price,1970-01-02
511.29,SPY,price,1970-01-03
high,SPY,1,1970-01-01
,SPY,1,1970-01-02
512.55,SPY,1,1970-01-03
low,SPY,2,1970-01-01
,SPY,2,1970-01-02
508.56,SPY,2,1970-01-03
trade_count,SPY,3,1970-01-01
,SPY,3,1970-01-02
579112,SPY,3,1970-01-03
open,SPY,4,1970-01-01
,SPY,4,1970-01-02
511.16,SPY,4,1970-01-03
volume,SPY,5,1970-01-01
,SPY,5,1970-01-02
72838709,SPY,5,1970-01-03
vwap,SPY,6,1970-01-01
,SPY,6,1970-01-02
510.564541,SPY,6,1970-01-03
close,AAPL,price,1970-01-01
,AAPL,price,1970-01-02
183.38,AAPL,price,1970-01-03
high,AAPL,1,1970-01-01
,AAPL,1,1970-01-02
187.0,AAPL,1,1970-01-03
low,AAPL,2,1970-01-01
,AAPL,2,1970-01-02
182.66,AAPL,2,1970-01-03
trade_count,AAPL,3,1970-01-01
,AAPL,3,1970-01-02
1468505,AAPL,3,1970-01-03
open,AAPL,4,1970-01-01
,AAPL,4,1970-01-02
186.645,AAPL,4,1970-01-03
volume,AAPL,5,1970-01-01
,AAPL,5,1970-01-02
163224109,AAPL,5,1970-01-03
vwap,AAPL,6,1970-01-01
,AAPL,6,1970-01-02
184.367391,AAPL,6,1970-01-03
close,MSFT,price,1970-01-01
,MSFT,price,1970-01-02
406.66,MSFT,price,1970-01-03
high,MSFT,1,1970-01-01
,MSFT,1,1970-01-02
407.15,MSFT,1,1970-01-03
low,MSFT,2,1970-01-01
,MSFT,2,1970-01-02
401.86,MSFT,2,1970-01-03
trade_count,MSFT,3,1970-01-01
,MSFT,3,1970-01-02
356126,MSFT,3,1970-01-03
open,MSFT,4,1970-01-01
,MSFT,4,1970-01-02
402.28,MSFT,4,1970-01-03
volume,MSFT,5,1970-01-01
,MSFT,5,1970-01-02
17446724,MSFT,5,1970-01-03
vwap,MSFT,6,1970-01-01
,MSFT,6,1970-01-02
405.790358,MSFT,6,1970-01-03
close,AMZN,price,1970-01-01
,AMZN,price,1970-01-02
186.21,AMZN,price,1970-01-03
high,AMZN,1,1970-01-01
,AMZN,1,1970-01-02
187.87,AMZN,1,1970-01-03
low,AMZN,2,1970-01-01
,AMZN,2,1970-01-02
185.42,AMZN,2,1970-01-03
trade_count,AMZN,3,1970-01-01
,AMZN,3,1970-01-02
413924,AMZN,3,1970-01-03
open,AMZN,4,1970-01-01
,AMZN,4,1970-01-02
186.99,AMZN,4,1970-01-03
volume,AMZN,5,1970-01-01
,AMZN,5,1970-01-02
39172004,AMZN,5,1970-01-03
vwap,AMZN,6,1970-01-01
,AMZN,6,1970-01-02
186.427845,AMZN,6,1970-01-03
close,GOOGL,price,1970-01-01
,GOOGL,price,1970-01-02
167.24,GOOGL,price,1970-01-03
high,GOOGL,1,1970-01-01
,GOOGL,1,1970-01-02
167.96,GOOGL,1,1970-01-03
low,GOOGL,2,1970-01-01
,GOOGL,2,1970-01-02
163.05,GOOGL,2,1970-01-03
trade_count,GOOGL,3,1970-01-01
,GOOGL,3,1970-01-02
429648,GOOGL,3,1970-01-03
open,GOOGL,4,1970-01-01
,GOOGL,4,1970-01-02
167.56,GOOGL,4,1970-01-03
volume,GOOGL,5,1970-01-01
,GOOGL,5,1970-01-02
34662432,GOOGL,5,1970-01-03
vwap,GOOGL,6,1970-01-01
,GOOGL,6,1970-01-02
165.93122,GOOGL,6,1970-01-03
close,META,price,1970-01-01
,META,price,1970-01-02
451.96,META,price,1970-01-03
high,META,1,1970-01-01
,META,1,1970-01-02
454.17,META,1,1970-01-03
low,META,2,1970-01-01
,META,2,1970-01-02
443.85,META,2,1970-01-03
trade_count,META,3,1970-01-01
,META,3,1970-01-02
298621,META,3,1970-01-03
open,META,4,1970-01-01
,META,4,1970-01-02
445.93,META,4,1970-01-03
volume,META,5,1970-01-01
,META,5,1970-01-02
16489057,META,5,1970-01-03
vwap,META,6,1970-01-01
,META,6,1970-01-02
450.376283,META,6,1970-01-03
close,TSLA,price,1970-01-01
,TSLA,price,1970-01-02
181.19,TSLA,price,1970-01-03
high,TSLA,1,1970-01-01
,TSLA,1,1970-01-02
184.78,TSLA,1,1970-01-03
low,TSLA,2,1970-01-01
,TSLA,2,1970-01-02
178.42,TSLA,2,1970-01-03
trade_count,TSLA,3,1970-01-01
,TSLA,3,1970-01-02
845583,TSLA,3,1970-01-03
open,TSLA,4,1970-01-01
,TSLA,4,1970-01-02
182.1,TSLA,4,1970-01-03
volume,TSLA,5,1970-01-01
,TSLA,5,1970-01-02
75491539,TSLA,5,1970-01-03
vwap,TSLA,6,1970-01-01
,TSLA,6,1970-01-02
181.254185,TSLA,6,1970-01-03
close,NVDA,price,1970-01-01
,NVDA,price,1970-01-02
887.89,NVDA,price,1970-01-03
high,NVDA,1,1970-01-01
,NVDA,1,1970-01-02
892.81,NVDA,1,1970-01-03
low,NVDA,2,1970-01-01
,NVDA,2,1970-01-02
870.4,NVDA,2,1970-01-03
trade_count,NVDA,3,1970-01-01
,NVDA,3,1970-01-02
785566,NVDA,3,1970-01-03
open,NVDA,4,1970-01-01
,NVDA,4,1970-01-02
877.89,NVDA,4,1970-01-03
volume,NVDA,5,1970-01-01
,NVDA,5,1970-01-02
39834072,NVDA,5,1970-01-03
vwap,NVDA,6,1970-01-01
,NVDA,6,1970-01-02
883.39532,NVDA,6,1970-01-03
close,JNJ,price,1970-01-01
,JNJ,price,1970-01-02
149.27,JNJ,price,1970-01-03
high,JNJ,1,1970-01-01
,JNJ,1,1970-01-02
149.89,JNJ,1,1970-01-03
low,JNJ,2,1970-01-01
,JNJ,2,1970-01-02
147.82,JNJ,2,1970-01-03
trade_count,JNJ,3,1970-01-01
,JNJ,3,1970-01-02
100687,JNJ,3,1970-01-03
open,JNJ,4,1970-01-01
,JNJ,4,1970-01-02
149.89,JNJ,4,1970-01-03
volume,JNJ,5,1970-01-01
,JNJ,5,1970-01-02
6532718,JNJ,5,1970-01-03
vwap,JNJ,6,1970-01-01
,JNJ,6,1970-01-02
148.922218,JNJ,6,1970-01-03
close,JPM,price,1970-01-01
,JPM,price,1970-01-02
190.51,JPM,price,1970-01-03
high,JPM,1,1970-01-01
,JPM,1,1970-01-02
192.529,JPM,1,1970-01-03
low,JPM,2,1970-01-01
,JPM,2,1970-01-02
188.46,JPM,2,1970-01-03
trade_count,JPM,3,1970-01-01
,JPM,3,1970-01-02
134446,JPM,3,1970-01-03
open,JPM,4,1970-01-01
,JPM,4,1970-01-02
192.0,JPM,4,1970-01-03
volume,JPM,5,1970-01-01
,JPM,5,1970-01-02
8922775,JPM,5,1970-01-03
vwap,JPM,6,1970-01-01
,JPM,6,1970-01-02
190.352295,JPM,6,1970-01-03
